,CarName,carbody,drivewheel,fueltype,doornumber,cylindernumber,symboling,wheelbase,horsepower,price,carlength,carwidth,carheight,curbweight,enginesize,compressionratio,mpg_avg
0,alfa-romero giulia,convertible,1,0,2,4,3,88.6,111,13495.0,168.8,64.1,48.8,2548,130,9.0,24.0
1,alfa-romero stelvio,convertible,1,0,2,4,3,88.6,111,16500.0,168.8,64.1,48.8,2548,130,9.0,24.0
2,alfa-romero Quadrifoglio,hatchback,1,0,2,6,1,94.5,154,16500.0,171.2,65.5,52.4,2823,152,9.0,22.5
3,audi 100 ls,sedan,0,0,4,4,2,99.8,102,13950.0,176.6,66.2,54.3,2337,109,10.0,27.0
4,audi 100ls,sedan,2,0,4,5,2,99.4,115,17450.0,176.6,66.4,54.3,2824,136,8.0,20.0
5,audi fox,sedan,0,0,2,5,2,99.8,110,15250.0,177.3,66.3,53.1,2507,136,8.5,22.0
6,audi 100ls,sedan,0,0,4,5,1,105.8,110,17710.0,192.7,71.4,55.7,2844,136,8.5,22.0
7,audi 5000,wagon,0,0,4,5,1,105.8,110,18920.0,192.7,71.4,55.7,2954,136,8.5,22.0
8,audi 4000,sedan,0,0,4,5,1,105.8,140,23875.0,192.7,71.4,55.9,3086,131,8.3,18.5
9,audi 5000s (diesel),hatchback,2,0,2,5,0,99.5,160,17859.167,178.2,67.9,52.0,3053,131,7.0,19.0
10,bmw 320i,sedan,1,0,2,4,2,101.2,101,16430.0,176.8,64.8,54.3,2395,108,8.8,26.0
11,bmw 320i,sedan,1,0,4,4,0,101.2,101,16925.0,176.8,64.8,54.3,2395,108,8.8,26.0
12,bmw x1,sedan,1,0,2,6,0,101.2,121,20970.0,176.8,64.8,54.3,2710,164,9.0,24.5
13,bmw x3,sedan,1,0,4,6,0,101.2,121,21105.0,176.8,64.8,54.3,2765,164,9.0,24.5
14,bmw z4,sedan,1,0,4,6,1,103.5,121,24565.0,189.0,66.9,55.7,3055,164,9.0,22.5
15,bmw x4,sedan,1,0,4,6,0,103.5,182,30760.0,189.0,66.9,55.7,3230,209,8.0,19.0
16,bmw x5,sedan,1,0,2,6,0,103.5,182,41315.0,193.8,67.9,53.7,3380,209,8.0,19.0
17,bmw x3,sedan,1,0,4,6,0,110.0,182,36880.0,197.0,70.9,56.3,3505,209,8.0,17.5
18,chevrolet impala,hatchback,0,0,2,3,2,88.4,48,5151.0,141.1,60.3,53.2,1488,61,9.5,50.0
19,chevrolet monte carlo,hatchback,0,0,2,4,1,94.5,70,6295.0,155.9,63.6,52.0,1874,90,9.6,40.5
20,chevrolet vega 2300,sedan,0,0,4,4,0,94.5,70,6575.0,158.8,63.6,52.0,1909,90,9.6,40.5
21,dodge rampage,hatchback,0,0,2,4,1,93.7,68,5572.0,157.3,63.8,50.8,1876,90,9.41,39.0
22,dodge challenger se,hatchback,0,0,2,4,1,93.7,68,6377.0,157.3,63.8,50.8,1876,90,9.4,34.5
23,dodge d200,hatchback,0,0,2,4,1,93.7,102,7957.0,157.3,63.8,50.8,2128,98,7.6,27.0
24,dodge monaco (sw),hatchback,0,0,4,4,1,93.7,68,6229.0,157.3,63.8,50.6,1967,90,9.4,34.5
25,dodge colt hardtop,sedan,0,0,4,4,1,93.7,68,6692.0,157.3,63.8,50.6,1989,90,9.4,34.5
26,dodge colt (sw),sedan,0,0,4,4,1,93.7,68,7609.0,157.3,63.8,50.6,1989,90,9.4,34.5
27,dodge coronet custom,sedan,0,0,2,4,1,93.7,102,8558.0,157.3,63.8,50.6,2191,98,7.6,27.0
28,dodge dart custom,wagon,0,0,4,4,-1,103.3,88,8921.0,174.6,64.6,59.8,2535,122,8.5,27.0
29,dodge coronet custom (sw),hatchback,0,0,2,4,3,95.9,145,12964.0,173.2,66.3,50.2,2811,156,7.0,21.5
30,honda civic,hatchback,0,0,2,4,2,86.6,58,6479.0,144.6,63.9,50.8,1713,92,9.6,51.5
31,honda civic cvcc,hatchback,0,0,2,4,2,86.6,76,6855.0,144.6,63.9,50.8,1819,92,9.2,34.5
32,honda civic,hatchback,0,0,2,4,1,93.7,60,5399.0,150.0,64.0,52.6,1837,79,10.1,40.0
33,honda accord cvcc,hatchback,0,0,2,4,1,93.7,76,6529.0,150.0,64.0,52.6,1940,92,9.2,32.0
34,honda civic cvcc,hatchback,0,0,2,4,1,93.7,76,7129.0,150.0,64.0,52.6,1956,92,9.2,32.0
35,honda accord lx,sedan,0,0,4,4,0,96.5,76,7295.0,163.4,64.0,54.5,2010,92,9.2,32.0
36,honda civic 1500 gl,wagon,0,0,4,4,0,96.5,76,7295.0,157.1,63.9,58.3,2024,92,9.2,32.0
37,honda accord,hatchback,0,0,2,4,0,96.5,86,7895.0,167.5,65.2,53.3,2236,110,9.0,30.0
38,honda civic 1300,hatchback,0,0,2,4,0,96.5,86,9095.0,167.5,65.2,53.3,2289,110,9.0,30.0
39,honda prelude,sedan,0,0,4,4,0,96.5,86,8845.0,175.4,65.2,54.1,2304,110,9.0,30.0
40,honda accord,sedan,0,0,4,4,0,96.5,86,10295.0,175.4,62.5,54.1,2372,110,9.0,30.0
41,honda civic,sedan,0,0,4,4,0,96.5,101,12945.0,175.4,65.2,54.1,2465,110,9.0,26.0
42,honda civic (auto),sedan,0,0,2,4,1,96.5,100,10345.0,169.1,66.0,51.0,2293,110,9.1,28.0
43,isuzu MU-X,sedan,1,0,4,4,0,94.3,78,6785.0,170.7,61.8,53.5,2337,111,8.5,26.5
44,isuzu D-Max ,sedan,0,0,2,4,1,94.5,70,8916.5,155.9,63.6,52.0,1874,90,9.6,40.5
45,isuzu D-Max V-Cross,sedan,0,0,4,4,0,94.5,70,8916.5,155.9,63.6,52.0,1909,90,9.6,40.5
46,isuzu D-Max ,hatchback,1,0,2,4,2,96.0,90,11048.0,172.6,65.2,51.4,2734,119,9.2,26.5
47,jaguar xj,sedan,1,0,4,6,0,113.0,176,32250.0,199.6,69.6,52.8,4066,258,8.1,17.0
48,jaguar xf,sedan,1,0,4,6,0,113.0,176,35550.0,199.6,69.6,52.8,4066,258,8.1,17.0
49,jaguar xk,sedan,1,0,2,12,0,102.0,262,36000.0,191.7,70.6,47.8,3950,326,11.5,15.0
50,maxda rx3,hatchback,0,0,2,4,1,93.1,68,5195.0,159.1,64.2,54.1,1890,91,9.0,30.5
51,maxda glc deluxe,hatchback,0,0,2,4,1,93.1,68,6095.0,159.1,64.2,54.1,1900,91,9.0,34.5
52,mazda rx2 coupe,hatchback,0,0,2,4,1,93.1,68,6795.0,159.1,64.2,54.1,1905,91,9.0,34.5
53,mazda rx-4,sedan,0,0,4,4,1,93.1,68,6695.0,166.8,64.2,54.1,1945,91,9.0,34.5
54,mazda glc deluxe,sedan,0,0,4,4,1,93.1,68,7395.0,166.8,64.2,54.1,1950,91,9.0,34.5
55,mazda 626,hatchback,1,0,2,2,3,95.3,101,10945.0,169.0,65.7,49.6,2380,70,9.4,20.0
56,mazda glc,hatchback,1,0,2,2,3,95.3,101,11845.0,169.0,65.7,49.6,2380,70,9.4,20.0
57,mazda rx-7 gs,hatchback,1,0,2,2,3,95.3,101,13645.0,169.0,65.7,49.6,2385,70,9.4,20.0
58,mazda glc 4,hatchback,1,0,2,2,3,95.3,135,15645.0,169.0,65.7,49.6,2500,80,9.4,19.5
59,mazda 626,hatchback,0,0,2,4,1,98.8,84,8845.0,177.8,66.5,53.7,2385,122,8.6,29.0
60,mazda glc custom l,sedan,0,0,4,4,0,98.8,84,8495.0,177.8,66.5,55.5,2410,122,8.6,29.0
61,mazda glc custom,hatchback,0,0,2,4,1,98.8,84,10595.0,177.8,66.5,53.7,2385,122,8.6,29.0
62,mazda rx-4,sedan,0,0,4,4,0,98.8,84,10245.0,177.8,66.5,55.5,2410,122,8.6,29.0
63,mazda glc deluxe,sedan,0,1,4,4,0,98.8,64,10795.0,177.8,66.5,55.5,2443,122,22.7,39.0
64,mazda 626,hatchback,0,0,4,4,0,98.8,84,11245.0,177.8,66.5,55.5,2425,122,8.6,29.0
65,mazda glc,sedan,1,0,4,4,0,104.9,120,18280.0,175.0,66.1,54.4,2670,140,8.0,23.0
66,mazda rx-7 gs,sedan,1,1,4,4,0,104.9,72,18344.0,175.0,66.1,54.4,2700,134,22.0,35.0
67,buick electra 225 custom,sedan,1,1,4,5,-1,110.0,123,25552.0,190.9,70.3,56.5,3515,183,21.5,23.5
68,buick century luxus (sw),wagon,1,1,4,5,-1,110.0,123,28248.0,190.9,70.3,58.7,3750,183,21.5,23.5
69,buick century,hardtop,1,1,2,5,0,106.7,123,28176.0,187.5,70.3,54.9,3495,183,21.5,23.5
70,buick skyhawk,sedan,1,1,4,5,-1,115.6,123,31600.0,202.6,71.7,56.3,3770,183,21.5,23.5
71,buick opel isuzu deluxe,sedan,1,0,4,8,-1,115.6,155,34184.0,202.6,71.7,56.5,3740,234,8.3,17.0
72,buick skylark,convertible,1,0,2,8,3,96.6,155,35056.0,180.3,70.5,50.8,3685,234,8.3,17.0
73,buick century special,sedan,1,0,4,8,0,120.9,184,40960.0,208.1,71.7,56.7,3900,308,8.0,15.0
74,buick regal sport coupe (turbo),hardtop,1,0,2,8,1,112.0,184,45400.0,199.2,72.0,55.4,3715,304,8.0,15.0
75,mercury cougar,hatchback,1,0,2,4,1,102.7,175,16503.0,178.4,68.0,54.8,2910,140,8.0,21.5
76,mitsubishi mirage,hatchback,0,0,2,4,2,93.7,68,5389.0,157.3,64.4,50.8,1918,92,9.4,39.0
77,mitsubishi lancer,hatchback,0,0,2,4,2,93.7,68,6189.0,157.3,64.4,50.8,1944,92,9.4,34.5
78,mitsubishi outlander,hatchback,0,0,2,4,2,93.7,68,6669.0,157.3,64.4,50.8,2004,92,9.4,34.5
79,mitsubishi g4,hatchback,0,0,2,4,1,93.0,102,7689.0,157.3,63.8,50.8,2145,98,7.6,27.0
80,mitsubishi mirage g4,hatchback,0,0,2,4,3,96.3,116,9959.0,173.0,65.4,49.4,2370,110,7.5,26.5
81,mitsubishi g4,hatchback,0,0,2,4,3,96.3,88,8499.0,173.0,65.4,49.4,2328,122,8.5,28.5
82,mitsubishi outlander,hatchback,0,0,2,4,3,95.9,145,12629.0,173.2,66.3,50.2,2833,156,7.0,21.5
83,mitsubishi g4,hatchback,0,0,2,4,3,95.9,145,14869.0,173.2,66.3,50.2,2921,156,7.0,21.5
84,mitsubishi mirage g4,hatchback,0,0,2,4,3,95.9,145,14489.0,173.2,66.3,50.2,2926,156,7.0,21.5
85,mitsubishi montero,sedan,0,0,4,4,1,96.3,88,6989.0,172.4,65.4,51.6,2365,122,8.5,28.5
86,mitsubishi pajero,sedan,0,0,4,4,1,96.3,88,8189.0,172.4,65.4,51.6,2405,122,8.5,28.5
87,mitsubishi outlander,sedan,0,0,4,4,1,96.3,116,9279.0,172.4,65.4,51.6,2403,110,7.5,26.5
88,mitsubishi mirage g4,sedan,0,0,4,4,-1,96.3,116,9279.0,172.4,65.4,51.6,2403,110,7.5,26.5
89,Nissan versa,sedan,0,0,2,4,1,94.5,69,5499.0,165.3,63.8,54.5,1889,97,9.4,34.0
90,nissan gt-r,sedan,0,1,2,4,1,94.5,55,7099.0,165.3,63.8,54.5,2017,103,21.9,47.5
91,nissan rogue,sedan,0,0,2,4,1,94.5,69,6649.0,165.3,63.8,54.5,1918,97,9.4,34.0
92,nissan latio,sedan,0,0,4,4,1,94.5,69,6849.0,165.3,63.8,54.5,1938,97,9.4,34.0
93,nissan titan,wagon,0,0,4,4,1,94.5,69,7349.0,170.2,63.8,53.5,2024,97,9.4,34.0
94,nissan leaf,sedan,0,0,2,4,1,94.5,69,7299.0,165.3,63.8,54.5,1951,97,9.4,34.0
95,nissan juke,hatchback,0,0,2,4,1,94.5,69,7799.0,165.6,63.8,53.3,2028,97,9.4,34.0
96,nissan latio,sedan,0,0,4,4,1,94.5,69,7499.0,165.3,63.8,54.5,1971,97,9.4,34.0
97,nissan note,wagon,0,0,4,4,1,94.5,69,7999.0,170.2,63.8,53.5,2037,97,9.4,34.0
98,nissan clipper,hardtop,0,0,2,4,2,95.1,69,8249.0,162.4,63.8,53.3,2008,97,9.4,34.0
99,nissan rogue,hatchback,0,0,4,4,0,97.2,97,8949.0,173.4,65.2,54.7,2324,120,8.5,30.5
100,nissan nv200,sedan,0,0,4,4,0,97.2,97,9549.0,173.4,65.2,54.7,2302,120,8.5,30.5
101,nissan dayz,sedan,0,0,4,6,0,100.4,152,13499.0,181.7,66.5,55.1,3095,181,9.0,19.5
102,nissan fuga,wagon,0,0,4,6,0,100.4,152,14399.0,184.6,66.5,56.1,3296,181,9.0,19.5
103,nissan otti,sedan,0,0,4,6,0,100.4,152,13499.0,184.6,66.5,55.1,3060,181,9.0,22.0
104,nissan teana,hatchback,1,0,2,6,3,91.3,160,17199.0,170.7,67.9,49.7,3071,181,9.0,22.0
105,nissan kicks,hatchback,1,0,2,6,3,91.3,200,19699.0,170.7,67.9,49.7,3139,181,7.8,20.0
106,nissan clipper,hatchback,1,0,2,6,1,99.2,160,18399.0,178.5,67.9,49.7,3139,181,9.0,22.0
107,peugeot 504,sedan,1,0,4,4,0,107.9,97,11900.0,186.7,68.4,56.7,3020,120,8.4,21.5
108,peugeot 304,sedan,1,1,4,4,0,107.9,95,13200.0,186.7,68.4,56.7,3197,152,21.0,30.5
109,peugeot 504 (sw),wagon,1,0,4,4,0,114.2,97,12440.0,198.9,68.4,58.7,3230,120,8.4,21.5
110,peugeot 504,wagon,1,1,4,4,0,114.2,95,13860.0,198.9,68.4,58.7,3430,152,21.0,25.0
111,peugeot 504,sedan,1,0,4,4,0,107.9,95,15580.0,186.7,68.4,56.7,3075,120,8.4,21.5
112,peugeot 604sl,sedan,1,1,4,4,0,107.9,95,16900.0,186.7,68.4,56.7,3252,152,21.0,30.5
113,peugeot 504,wagon,1,0,4,4,0,114.2,95,16695.0,198.9,68.4,56.7,3285,120,8.4,21.5
114,peugeot 505s turbo diesel,wagon,1,1,4,4,0,114.2,95,17075.0,198.9,68.4,58.7,3485,152,21.0,25.0
115,peugeot 504,sedan,1,0,4,4,0,107.9,97,16630.0,186.7,68.4,56.7,3075,120,8.4,21.5
116,peugeot 504,sedan,1,1,4,4,0,107.9,95,17950.0,186.7,68.4,56.7,3252,152,21.0,30.5
117,peugeot 604sl,sedan,1,0,4,4,0,108.0,142,18150.0,186.7,68.3,56.0,3130,134,7.0,21.0
118,plymouth fury iii,hatchback,0,0,2,4,1,93.7,68,5572.0,157.3,63.8,50.8,1918,90,9.4,39.0
119,plymouth cricket,hatchback,0,0,2,4,1,93.7,102,7957.0,157.3,63.8,50.8,2128,98,7.6,27.0
120,plymouth fury iii,hatchback,0,0,4,4,1,93.7,68,6229.0,157.3,63.8,50.6,1967,90,9.4,34.5
121,plymouth satellite custom (sw),sedan,0,0,4,4,1,93.7,68,6692.0,167.3,63.8,50.8,1989,90,9.4,34.5
122,plymouth fury gran sedan,sedan,0,0,4,4,1,93.7,68,7609.0,167.3,63.8,50.8,2191,98,9.4,34.5
123,plymouth valiant,wagon,0,0,4,4,-1,103.3,88,8921.0,174.6,64.6,59.8,2535,122,8.5,27.0
124,plymouth duster,hatchback,1,0,2,4,3,95.9,145,12764.0,173.2,66.3,50.2,2818,156,7.0,21.5
125,porsche macan,hatchback,1,0,2,4,3,94.5,143,22018.0,168.9,68.3,50.2,2778,151,9.5,23.0
126,porcshce panamera,hardtop,1,0,2,6,3,89.5,207,32528.0,168.9,65.0,51.6,2756,194,9.5,21.0
127,porsche cayenne,hardtop,1,0,2,6,3,89.5,207,34028.0,168.9,65.0,51.6,2756,194,9.5,21.0
128,porsche boxter,convertible,1,0,2,6,3,89.5,207,37028.0,168.9,65.0,51.6,2800,194,9.5,21.0
129,porsche cayenne,hatchback,1,0,2,8,1,98.4,288,31400.5,175.7,72.3,50.5,3366,203,10.0,22.5
130,renault 12tl,wagon,0,0,4,4,0,96.1,90,9295.0,181.5,66.5,55.2,2579,132,8.7,27.0
131,renault 5 gtl,hatchback,0,0,2,4,2,96.1,90,9895.0,176.8,66.6,50.5,2460,132,8.7,27.0
132,saab 99e,hatchback,0,0,2,4,3,99.1,110,11850.0,186.6,66.5,56.1,2658,121,9.31,24.5
133,saab 99le,sedan,0,0,4,4,2,99.1,110,12170.0,186.6,66.5,56.1,2695,121,9.3,24.5
134,saab 99le,hatchback,0,0,2,4,3,99.1,110,15040.0,186.6,66.5,56.1,2707,121,9.3,24.5
135,saab 99gle,sedan,0,0,4,4,2,99.1,110,15510.0,186.6,66.5,56.1,2758,121,9.3,24.5
136,saab 99gle,hatchback,0,0,2,4,3,99.1,160,18150.0,186.6,66.5,56.1,2808,121,9.0,22.5
137,saab 99e,sedan,0,0,4,4,2,99.1,160,18620.0,186.6,66.5,56.1,2847,121,9.0,22.5
138,subaru,hatchback,0,0,2,4,2,93.7,69,5118.0,156.9,63.4,53.7,2050,97,9.0,33.5
139,subaru dl,hatchback,0,0,2,4,2,93.7,73,7053.0,157.9,63.6,53.7,2120,108,8.7,28.5
140,subaru dl,hatchback,2,0,2,4,2,93.3,73,7603.0,157.3,63.8,55.7,2240,108,8.7,28.5
141,subaru,sedan,0,0,4,4,0,97.2,82,7126.0,172.0,65.4,52.5,2145,108,9.5,34.5
142,subaru brz,sedan,0,0,4,4,0,97.2,82,7775.0,172.0,65.4,52.5,2190,108,9.5,30.5
143,subaru baja,sedan,0,0,4,4,0,97.2,94,9960.0,172.0,65.4,52.5,2340,108,9.0,29.0
144,subaru r1,sedan,2,0,4,4,0,97.0,82,9233.0,172.0,65.4,54.3,2385,108,9.0,24.5
145,subaru r2,sedan,2,0,4,4,0,97.0,111,11259.0,172.0,65.4,54.3,2510,108,7.7,26.5
146,subaru trezia,wagon,0,0,4,4,0,97.0,82,7463.0,173.5,65.4,53.0,2290,108,9.0,30.0
147,subaru tribeca,wagon,0,0,4,4,0,97.0,94,10198.0,173.5,65.4,53.0,2455,108,9.0,28.0
148,subaru dl,wagon,2,0,4,4,0,96.9,82,8013.0,173.6,65.4,54.9,2420,108,9.0,26.0
149,subaru dl,wagon,2,0,4,4,0,96.9,111,11694.0,173.6,65.4,54.9,2650,108,7.7,23.0
150,toyota corona mark ii,hatchback,0,0,2,4,1,95.7,62,5348.0,158.7,63.6,54.5,1985,92,9.0,37.0
151,toyota corona,hatchback,0,0,2,4,1,95.7,62,6338.0,158.7,63.6,54.5,2040,92,9.0,34.5
152,toyota corolla 1200,hatchback,0,0,4,4,1,95.7,62,6488.0,158.7,63.6,54.5,2015,92,9.0,34.5
153,toyota corona hardtop,wagon,0,0,4,4,0,95.7,62,6918.0,169.7,63.6,59.1,2280,92,9.0,34.0
154,toyota corolla 1600 (sw),wagon,2,0,4,4,0,95.7,62,7898.0,169.7,63.6,59.1,2290,92,9.0,29.5
155,toyota carina,wagon,2,0,4,4,0,95.7,62,8778.0,169.7,63.6,59.1,3110,92,9.0,29.5
156,toyota mark ii,sedan,0,0,4,4,0,95.7,70,6938.0,166.3,64.4,53.0,2081,98,9.0,33.5
157,toyota corolla 1200,hatchback,0,0,4,4,0,95.7,70,7198.0,166.3,64.4,52.8,2109,98,9.0,33.5
158,toyota corona,sedan,0,1,4,4,0,95.7,56,7898.0,166.3,64.4,53.0,2275,110,22.5,35.0
159,toyota corolla,hatchback,0,1,4,4,0,95.7,56,7788.0,166.3,64.4,52.8,2275,110,22.5,42.5
160,toyota corona,sedan,0,0,4,4,0,95.7,70,7738.0,166.3,64.4,53.0,2094,98,9.0,42.5
161,toyota corolla,hatchback,0,0,4,4,0,95.7,70,8358.0,166.3,64.4,52.8,2122,98,9.0,31.0
162,toyota mark ii,sedan,0,0,4,4,0,95.7,70,9258.0,166.3,64.4,52.8,2140,98,9.0,31.0
163,toyota corolla liftback,sedan,1,0,2,4,1,94.5,70,8058.0,168.7,64.0,52.6,2169,98,9.0,31.5
164,toyota corona,hatchback,1,0,2,4,1,94.5,70,8238.0,168.7,64.0,52.6,2204,98,9.0,31.5
165,toyota celica gt liftback,sedan,1,0,2,4,1,94.5,112,9298.0,168.7,64.0,52.6,2265,98,9.4,27.5
166,toyota corolla tercel,hatchback,1,0,2,4,1,94.5,112,9538.0,168.7,64.0,52.6,2300,98,9.4,27.5
167,toyota corona liftback,hardtop,1,0,2,4,2,98.4,116,8449.0,176.2,65.6,52.0,2540,146,9.3,27.0
168,toyota corolla,hardtop,1,0,2,4,2,98.4,116,9639.0,176.2,65.6,52.0,2536,146,9.3,27.0
169,toyota starlet,hatchback,1,0,2,4,2,98.4,116,9989.0,176.2,65.6,52.0,2551,146,9.3,27.0
170,toyota tercel,hardtop,1,0,2,4,2,98.4,116,11199.0,176.2,65.6,52.0,2679,146,9.3,27.0
171,toyota corolla,hatchback,1,0,2,4,2,98.4,116,11549.0,176.2,65.6,52.0,2714,146,9.3,27.0
172,toyota cressida,convertible,1,0,2,4,2,98.4,116,17669.0,176.2,65.6,53.0,2975,146,9.3,27.0
173,toyota corolla,sedan,0,0,4,4,-1,102.4,92,8948.0,175.6,66.5,54.9,2326,122,8.7,31.5
174,toyota celica gt,sedan,0,1,4,4,-1,102.4,73,10698.0,175.6,66.5,54.9,2480,110,22.5,31.5
175,toyota corona,hatchback,0,0,4,4,-1,102.4,92,9988.0,175.6,66.5,53.9,2414,122,8.7,29.5
176,toyota corolla,sedan,0,0,4,4,-1,102.4,92,10898.0,175.6,66.5,54.9,2414,122,8.7,29.5
177,toyota mark ii,hatchback,0,0,4,4,-1,102.4,92,11248.0,175.6,66.5,53.9,2458,122,8.7,29.5
178,toyota corolla liftback,hatchback,1,0,2,6,3,102.9,161,16558.0,183.5,67.7,52.0,2976,171,9.3,22.0
179,toyota corona,hatchback,1,0,2,6,3,102.9,161,15998.0,183.5,67.7,52.0,3016,171,9.3,21.5
180,toyota starlet,sedan,1,0,4,6,-1,104.5,156,15690.0,187.8,66.5,54.1,3131,171,9.2,22.0
181,toyouta tercel,wagon,1,0,4,6,-1,104.5,156,15750.0,187.8,66.5,54.1,3151,161,9.2,21.5
182,vokswagen rabbit,sedan,0,1,2,4,2,97.3,52,7775.0,171.7,65.5,55.7,2261,97,23.0,41.5
183,volkswagen 1131 deluxe sedan,sedan,0,0,2,4,2,97.3,85,7975.0,171.7,65.5,55.7,2209,109,9.0,30.5
184,volkswagen model 111,sedan,0,1,4,4,2,97.3,52,7995.0,171.7,65.5,55.7,2264,97,23.0,41.5
185,volkswagen type 3,sedan,0,0,4,4,2,97.3,85,8195.0,171.7,65.5,55.7,2212,109,9.0,30.5
186,volkswagen 411 (sw),sedan,0,0,4,4,2,97.3,85,8495.0,171.7,65.5,55.7,2275,109,9.0,30.5
187,volkswagen super beetle,sedan,0,1,4,4,2,97.3,68,9495.0,171.7,65.5,55.7,2319,97,23.0,39.5
188,volkswagen dasher,sedan,0,0,4,4,2,97.3,100,9995.0,171.7,65.5,55.7,2300,109,10.0,29.0
189,vw dasher,convertible,0,0,2,4,3,94.5,90,11595.0,159.3,64.2,55.6,2254,109,8.5,26.5
190,vw rabbit,hatchback,0,0,2,4,3,94.5,90,9980.0,165.7,64.0,51.4,2221,109,8.5,26.5
191,volkswagen rabbit,sedan,0,0,4,5,0,100.4,110,13295.0,180.2,66.9,55.1,2661,136,8.5,21.5
192,volkswagen rabbit custom,sedan,0,1,4,4,0,100.4,68,13845.0,180.2,66.9,55.1,2579,97,23.0,35.5
193,volkswagen dasher,wagon,0,0,4,4,0,100.4,88,12290.0,183.1,66.9,55.1,2563,109,9.0,28.0
194,volvo 145e (sw),sedan,1,0,4,4,-2,104.3,114,12940.0,188.8,67.2,56.2,2912,141,9.5,25.5
195,volvo 144ea,wagon,1,0,4,4,-1,104.3,114,13415.0,188.8,67.2,57.5,3034,141,9.5,25.5
196,volvo 244dl,sedan,1,0,4,4,-2,104.3,114,15985.0,188.8,67.2,56.2,2935,141,9.5,26.0
197,volvo 245,wagon,1,0,4,4,-1,104.3,114,16515.0,188.8,67.2,57.5,3042,141,9.5,26.0
198,volvo 264gl,sedan,1,0,4,4,-2,104.3,162,18420.0,188.8,67.2,56.2,3045,130,7.5,19.5
199,volvo diesel,wagon,1,0,4,4,-1,104.3,162,18950.0,188.8,67.2,57.5,3157,130,7.5,19.5
200,volvo 145e (sw),sedan,1,0,4,4,-1,109.1,114,16845.0,188.8,68.9,55.5,2952,141,9.5,25.5
201,volvo 144ea,sedan,1,0,4,4,-1,109.1,160,19045.0,188.8,68.8,55.5,3049,141,8.7,22.0
202,volvo 244dl,sedan,1,0,4,6,-1,109.1,134,21485.0,188.8,68.9,55.5,3012,173,8.8,20.5
203,volvo 246,sedan,1,1,4,6,-1,109.1,106,22470.0,188.8,68.9,55.5,3217,145,23.0,26.5
204,volvo 264gl,sedan,1,0,4,4,-1,109.1,114,22625.0,188.8,68.9,55.5,3062,141,9.5,22.0
